Sr. No.,Entity Name,Volume (AS a Sender),Value (As a sender),Volume(as a reciver),Value (as a reciver),,
71,CITIZEN CREDIT CO-OPERATIVE BANK LTD.,2.69,28.69,0.96,25.34,,
72,CITIZENS CO-OPERATIVE BANK LTD.,0.54,10.98,0.29,12.15,,
73,CITY UNION BANK,380.31,7174.59,210.15,6352.99,,
74,COASTAL AREA LOCAL BANK,6.30,116.31,3.74,111.81,,
75,CONTAI COOPERATIVE BANK LTD,0.22,5.15,0.13,5.12,,
76,CSB BANK LIMITED,77.18,1324.39,43.03,1256.10,,
77,CUDDALORE DISTRICT CENTRAL CO-OP BANK,0.39,5.17,0.21,6.35,,
78,DAIVADNYA SAHAKARA BANK NIYAMIT,0.06,0.85,0.02,0.88,,
79,DAKSHIN BIHAR GRAMIN BANK (ERSTWHILE MADHYA BIHAR GRAMIN BANK),84.49,1173.05,57.89,1236.48,,
80,DAPOLI URBAN COOPERATIVE BANK LTD,0.43,7.41,0.28,6.69,,
81,DARUSSALAM CO-OPERATIVE URBAN BANK LTD.,4.05,55.79,2.20,56.37,,
82,DATTATRAYA MAHARAJ KALAMBE JAOLI SAHAKARI BANK LTD,2.93,40.23,1.50,39.48,,
83,DAUSA URBAN COOPERATIVE BANK LTD,0.10,1.93,0.13,4.64,,
84,DBS BANK INDIA LIMITED,250.75,3734.86,101.91,3533.68,,
85,DCB BANK LTD,61.58,1478.31,34.47,1492.31,,
86,DEENDAYAL NAGRI SAHAKARI BANK LTD,1.96,40.93,1.46,37.93,,
87,DEOGIRI NAGARI SAHAKARI BANK LTD,9.40,127.13,4.52,113.32,,
88,DEUTSCHE BANK,30.47,485.44,1.01,67.25,,
90,DEVELOPMENT CO OPERATIVE BANK LTD KANPUR,0.00,0.08,0.00,0.04,,
91,DHANALAKSHMI BANK,65.15,1092.67,39.49,952.21,,
92,DHANERA MERCANTILE CO-OP BANK LTD,2.68,49.35,1.13,42.79,,
93,DHARMAPURI DISTRICT CENTRAL CO-OPERATIVE BANK LTD,2.18,30.71,1.10,29.47,,
94,DHULE VIKAS SAHAKARI BANK LTD,0.01,0.20,0.00,0.30,,
95,DINDIGUL DISTRICT CENTRAL COOPERATIVE BANK,1.07,14.61,0.60,14.45,,
96,DOMBIVLI NAGARIK SAHAKARI BANK,27.72,389.62,10.10,271.85,,
