Sr. No.,Entity Name,Volume (AS a Sender),Value (As a sender),Volume(as a reciver),Value (as a reciver),,
300,SHRAMIK NAGRIK SAHKARI BANK LTD,0.00,0.13,0.00,0.22,,
301,SHREE BALAJI URBAN CO OPERATIVE BANK LTD,0.04,0.60,0.04,1.07,,
302,SHREE BASAVESHWAR URBAN CO OPERATIVE BANK LTD,0.04,0.64,0.03,0.78,,
303,SHREE DHARATI CO-OPERATIVE BANK LTD.,0.19,3.62,0.11,3.69,,
304,SHREE KADI NAGARIK SAHAKARI BANK LTD,3.96,71.02,1.77,57.19,,
305,SHREE MAHALAXMI URBAN CO OPERATIVE CREDIT BANK LTD,0.43,6.80,0.28,7.11,,
306,SHREE MAHAVIR SAHAKARI BANK LTD,0.83,10.30,0.18,4.74,,
307,SHREE MAHESH CO-OPERATIVE BANK LTD,0.11,1.70,0.07,3.11,,
308,SHREE MAHUVA NAGRIK SAHAKARI BANK LTD,0.07,1.38,0.04,1.55,,
309,SHREE PANCHGANGA NAGARI SAHAKARI BANK LTD,1.22,15.41,0.63,12.64,,
310,SHREE VARDHAMAN SAHAKARI BANK LTD.,0.04,0.62,0.05,1.37,,
311,SHREE WARANA SAHAKARI BANK LTD,2.04,27.55,0.89,23.73,,
312,SHRI ADINATH CO OP BANK LTD,0.48,7.06,0.23,5.07,,
313,SHRI ANAND NAGARI SAHAKARI BANK LIMITED,0.06,1.16,0.04,1.00,,
314,SHRI ARIHANT CO-OP. BANK LTD.,0.70,16.96,0.43,16.18,,
315,"SHRI BASAVESHWAR SAHAKARI BANK NYT., BAGALKOT",0.83,17.12,0.51,15.44,,
316,"SHRI BHARAT URBAN CO-OPERATIVE BANK LTD,  JAYSINGPUR",0.65,9.03,0.37,7.23,,
317,SHRI CHATRAPATI SHIVAJI MAHARAJ SAHAKARI BANK NIYAMITH,0.12,2.53,0.07,2.39,,
318,SHRI CHHANI NAGRIK SAHKARI BANK LTD,0.06,1.40,0.04,1.41,,
319,SHRI CHHATRAPATI RAJARSHI SHAHU URBAN CO-OP. BANK LTD. BEED,10.00,221.39,6.18,200.25,,
320,SHRI DURGADEVI MAHILA SAHAKARI BANK NIYAMITH,0.01,0.12,0.01,0.16,,
321,SHRI GAJANAN MAHARAJ URBAN CO.OP. BANK LTD. BHOKARDAN,0.18,5.17,0.14,4.61,,
322,SHRI JANATA SAHAKARI BANK LTD.HALOL,0.22,4.80,0.11,3.71,,
323,SHRI MAHALAXMI COOPERATIVE BANK LTD KOLHAPUR,0.50,6.90,0.19,5.08,,
324,SHRI MAHILA SEWA SAHAKARI BANK LTD.,0.79,8.36,0.44,9.01,,
325,SHRI RAJKOT DISTRICT CO-OPERATIVE BANK LTD.,4.35,91.58,1.77,68.40,,
326,SHRI RUKMINI SAHAKARI BANK LTD,0.00,0.02,0.00,0.59,,
327,SHRI VEERSHAIV CO-OPERATIVE BANK LTD,2.75,38.64,1.25,32.16,,
328,SHRI YASHWANT SAHAKARI BANK MARYADIT KUDITRE,0.29,3.89,0.17,3.47,,
329,SHRI. D. T. PATIL CO-OPERATIVE BANK LTD CHIKODI,0.04,0.57,0.01,0.59,,
330,SHRIKRISHNA COOPERATIVE BANK LTD UMRER,0.19,4.40,0.12,3.58,,
331,SHRIRAM URBAN CO-OPERATIVE BANK LTD,0.01,0.21,0.02,0.13,,
332,SIDDHESHWAR URBAN COOP BANK MARYADIT SILLOD,0.11,2.89,0.17,4.11,,
333,"SINDHUDURG DISTRICT CENTRAL CO. OP. BANK LTD., SINDHUDURG",5.35,65.05,2.16,57.00,,
334,SIVAGANGAI DISTRICT CENTRAL COOPERATIVE BANK,0.24,3.95,0.14,4.17,,
335,SMRITI NAGRIK SAHAKARI BANK MARYADIT MANDSAUR,2.08,38.41,1.39,34.76,,
336,SONEBHADRA NAGAR SAHKARI BANK LIMITED,0.08,1.33,0.06,1.28,,
337,SPICE MONEY LIMITED,0.01,0.02,0.00,0.03,,
338,SREE CHARAN SOUHARDHA CO-OPERATIVE BANK LTD,0.37,5.56,0.15,5.00,,
339,SREENIDHI SOUHARDA SAHAKARI BANK NIYAMITHA,0.30,7.21,0.13,5.94,,
340,SRI GANAPATHI URBAN CO OP BANK LTD,0.02,0.36,0.01,0.33,,
341,SRI GOKARNANATH CO-OPERATIVE BANK LTD,0.03,0.41,0.02,0.76,,
342,SRI RAMA CO-OPERATIVE BANK LIMITED,0.05,0.66,0.04,1.03,,
343,SRI SEETHARAGHAVA SOUHARDA SAHAKARA BANK NIYAMITHA,0.05,1.24,0.04,1.12,,
344,SRI SUDHA CO-OPERATIVE BANK LTD,0.28,3.44,0.16,4.97,,
345,SRI VASAVAMBA CO-OP. BANK LTD.,0.42,9.45,0.34,9.08,,
346,STANDARD CHARTERED BANK,242.08,3954.36,46.29,2186.26,,
347,STATE BANK OF INDIA,35445.41,534730.93,15477.34,390411.27,,
348,STERLING URBAN CO-OPERATIVE BANK LTD.,1.45,23.05,0.72,22.14,,
349,SUCO SOUHARDA SAHAKARI BANK-IMPS,10.34,145.46,6.25,140.86,,
350,SUDHA CO-OPERATIVE URBAN BANK LTD,0.35,10.89,0.26,12.30,,
351,"SUNDERLAL SAWJI URBAN CO-OP BANK LTD,  JINTUR",1.88,36.98,1.23,40.17,,
352,SURAT NATIONAL CO-OPERATIVE BANK LTD,1.80,34.71,0.81,29.18,,
353,SURYODAY SMALL FINANCE BANK LIMITED,57.29,476.11,34.26,625.96,,
354,SUVARNAYUG SAHAKARI BANK LTD.,4.58,67.70,2.16,59.54,,
355,TAMIL NADU GRAMA BANK,8.52,123.00,4.50,148.08,,
356,TAMILNAD MERCANTILE BANK LIMITED,349.08,5904.69,254.41,6006.25,,
357,TELANGANA GRAMEENA BANK,115.54,1867.76,54.52,1514.61,,
358,TELANGANA STATE COOPERATIVE APEX BANK LTD,11.91,178.77,5.72,170.98,,
359,TEXTILE TRADERS CO-OPERATIVE BANK LIMITED,0.12,1.61,0.05,2.00,,
360,THANE BHARAT SAHAKARI BANK LTD,11.43,138.82,4.29,107.24,,
361,THANE JANATA SAHAKARI BANK,92.09,1196.69,38.24,927.55,,
362,THANJAVUR DISTRICT CENTRAL COOPERATIVE BANK,0.31,4.11,0.16,4.41,,
363,THE A.P. MAHESH CO-OPERATIVE URBAN BANK LTD,4.25,61.80,2.53,107.56,,
364,THE ABHINAV SAHAKARI BANK LTD,1.67,20.29,0.75,18.65,,
365,THE ADARSH CO-OPERATIVE URBAN BANK LTD.,11.84,190.09,6.10,160.67,,
366,THE ADILABAD DISTRICT CO-OP CENTRAL BANK LTD.,0.98,19.46,0.54,17.73,,
367,THE AGRASEN CO-OPERATIVE URBAN BANK LTD,0.44,10.55,0.42,16.41,,
368,THE AGRASEN NAGARI SAHAKARI BANK LTD,0.06,1.57,0.03,1.35,,
369,THE AHMEDABAD MERCANTILE COOPERATIVE BANK LTD,3.68,76.63,1.42,58.46,,
370,THE AHMEDNAGAR DISTRICT CENTRAL COOP BANK LTD,4.36,66.95,1.03,38.86,,
371,THE AJARA URBAN CO OP BANK LTD,2.61,33.91,1.59,31.22,,
372,THE AKOLA DISTRICT CENTRAL CO-OP.BANK LTD,6.79,100.13,2.40,69.91,,
373,THE AKOLA JANATA COMMERCIAL COOPERATIVE BANK LTD,0.98,18.75,0.59,26.90,,
374,THE AKOLA URBAN CO OPERATIVE BANK LTD,1.03,19.73,0.70,23.03,,
375,THE AMBIKA MAHILA SAHAKARI BANK LTD. AHMEDNAGAR,0.02,0.35,0.03,0.81,,
376,THE AMRAVATI ZILLA PARISHAD SHIKSHAK SAHAKARI BANK,0.20,4.11,0.04,2.38,,
377,THE ANAND MERCANTILE CO-OP. BANK LTD.,0.12,2.36,0.09,3.18,,
378,THE ANDHRA PRADESH STATE COOPERATIVE BANK LTD,4.03,48.77,2.03,48.45,,
379,THE AP RAJARAJESWARI MAHILA CO OP URBAN BANK LTD,0.02,0.44,0.01,0.40,,
380,THE ASHTA PEOPLES CO-OP BANK LTD ASHTA,0.43,7.28,0.19,5.68,,
381,THE BABASAHEB DESHMUKH SAHAKARI BANK LTD,0.14,3.35,0.10,3.49,,
382,THE BANASKANTHA DISTRICT CENTRAL CO-OP. BANK LTD.,44.88,548.44,12.64,293.60,,
383,THE BANASKANTHA MERCANTILE CO-OPERATIVE BANK LTD.,2.78,45.37,1.27,43.34,,
384,THE BANGALORE CITY CO-OPERATIVE BANK LIMITED,0.00,0.08,0.00,0.17,,
385,THE BARAMATI SAHAKARI BANK LIMITED,10.64,155.07,4.81,128.65,,
386,THE BARDOLI NAGRIK SAHAKARI BANK LTD,0.08,1.80,0.06,1.42,,
387,THE BARODA CENTRAL COOP BANK LTD,4.10,44.81,1.54,34.41,,
388,THE BARODA CITY CO OPERATIVE BANK LTD,0.23,3.71,0.19,4.44,,
389,THE BAVLA NAGRIK SAHAKARI BANK LTD,0.08,1.39,0.04,1.21,,
390,THE BELLARY DIST COOPERATIVE CENTRAL BANK LTD,1.74,38.31,0.83,26.59,,
391,THE BHAGYALAKSHMI MAHILA SAHAKARI BANK LTD,0.49,10.63,0.43,14.44,,
392,THE BHAGYODAYA CO-OPERATIVE BANK LTD,0.24,5.20,0.12,5.10,,
393,THE BHARAT CO OPERATIVE BANK MUMBAI LTD,52.10,655.35,20.54,519.28,,
394,THE BHARUCH DISTRICT CENTRAL COOP BANK LTD,0.81,11.58,0.27,8.02,,
395,THE BHUJ COMMERCIAL CO OP BANK LTD,0.19,5.39,0.19,8.24,,
396,THE BHUJ MERCENTILE COOP BANK LTD,0.07,1.38,0.03,1.07,,
397,THE BICHOLIM URBAN COOPERATIVE BANK LTD,0.45,4.18,0.13,3.21,,
398,THE BURDWAN CENTRAL CO OP BANK LTD,0.81,13.07,0.43,9.07,,
399,THE BUSINESS CO OPERATIVE BANK LTD,0.74,14.28,0.45,12.18,,
400,THE CHANDIGARH STATE CO-OP BANK LTD,0.18,2.60,0.09,2.39,,
401,THE CHANDWAD MERCHANTS CO-OPERATIVE BANK LTD,0.02,0.25,0.01,0.67,,
402,THE CHEMBUR NAGARIK SAHAKARI BANK LTD,1.90,23.10,1.03,21.88,,
403,THE CHENNAI CENTRAL COOPERATIVE BANK LTD,1.46,19.73,0.90,24.74,,
404,THE CHIKHLI URBAN CO-OP BANK LTD.,0.07,1.36,0.04,1.49,,
405,THE CHIPLUN URBAN COOPERATIVE BANK LTD,0.38,5.21,0.20,4.26,,
406,THE CHITTOOR DISTRICT CO-OP CENTRAL BANK LTD,0.16,2.73,0.09,3.53,,
407,THE COIMBATORE DISTRICT CENTRAL CO-OP BANK LIMITED,1.03,13.26,0.49,12.76,,
408,THE COMMERCIAL CO OPERATIVE BANK LTD KOLHAPUR,0.50,7.73,0.25,7.84,,
409,THE COMMERCIAL CO-OPERATIVE BANK LTD,0.06,1.43,0.05,3.28,,
410,THE CO-OP BANK OF MEHSANA LTD,0.22,4.46,0.10,4.15,,
411,THE CO-OPERATIVE BANK OF RAJKOT LTD,0.30,6.45,0.15,7.77,,
412,THE COSMOS CO-OPERATIVE BANK LTD,80.01,930.82,144.55,2441.09,,
413,THE DAHOD MERCANTILE CO-OP BANK LTD,0.41,8.01,0.29,7.97,,
414,THE DAHOD URBAN CO-OPERATIVE BANK LTD,0.83,13.99,0.64,15.18,,
415,THE DAVANGERE HARIHAR URBAN SAHAKARA BANK NIYAMITHA,0.27,5.46,0.23,4.44,,
416,THE DAVANGERE URBAN CO OP BANK LTD,0.03,0.27,0.02,0.47,,
417,THE DHANBAD CENTRAL COOPERATIVE BANK LTD,0.31,4.82,0.26,3.96,,
418,THE DISTRICT CENTRAL CO OP BANK LTD KHAMMAM,0.85,17.08,0.41,15.76,,
419,THE DISTRICT CO-OPERATIVE CENTRAL BANK LTD.MEDAK,3.42,56.37,1.64,47.39,,
420,THE EENADU CO-OP.URBAN BANK LTD,1.15,17.44,0.68,16.40,,
421,THE ERODE DISTRICT CENTRAL COOPERATIVE BANK LTD,0.70,10.92,0.31,9.63,,
422,THE FINANCIAL CO OPERATIVE BANK LTD,0.19,4.39,0.09,4.87,,
423,THE GADCHIROLI DISTRICT CENTRAL CO-OP. BANK LTD.,3.16,45.80,1.47,29.09,,
424,THE GANDEVI PEOPLES CO OPERATIVE BANK LTD,0.25,3.88,0.13,3.37,,
425,THE GANDHI GUNJ CO-OPERATIVE BANK LTD,0.06,2.01,0.06,2.64,,
426,THE GANDHIDHAM CO OPERATIVE BANK LTD,0.08,1.05,0.06,1.70,,
427,THE GANDHIDHAM MERCANTILE CO-OPERATIVE BANK LTD,0.08,1.41,0.04,1.73,,
428,THE GANDHINAGAR NAGARIK CO-OPERATIVE BANK LTD,0.24,4.69,0.10,4.16,,
429,THE GANDHINAGAR URBAN COOP BANK LTD,0.07,1.24,0.07,1.44,,
430,THE GAYATRI CO-OPERATIVE URBAN BANK LTD.,33.74,583.73,15.48,547.86,,
431,THE GOA URBAN CO-OPERATIVE BANK LTD,0.05,0.56,0.02,0.40,,
432,THE GODHRA CITY CO-OPERATIVE BANK LTD. GODHRA,0.00,0.01,0.00,0.05,,
433,THE GODHRA URBAN COOPERATIVE BANK LTD,0.37,9.53,0.32,10.64,,
434,THE GRAIN MERCHANTS CO-OPERATIVE BANK LTD,0.01,0.29,0.01,0.25,,
435,THE GREATER BOMBAY CO-OPERATIVE BANK LIMITED,6.57,85.36,3.08,63.46,,
436,THE GUJARAT STATE CO-OP BANK LTD,5.94,96.87,2.43,75.29,,
437,THE GUNTUR COOPERATIVE URBAN BANK LTD,0.32,5.22,0.18,5.97,,
438,THE HARYANA STATE CO-OPERATIVE APEX BANK LTD,0.29,3.72,0.09,2.81,,
439,THE HASSAN DISTRICT CO-OPERATIVE CENTRAL BANK LTD,0.09,1.77,0.04,1.53,,
440,THE HASTI CO-OP. BANK LTD.,4.59,98.08,2.95,87.00,,
441,THE HIMACHAL PRADESH STATE COOPERATIVE BANK LTD.,22.72,230.41,9.00,141.03,,
442,THE IDAR NAGRIK SAHAKARI BANK LIMITED,0.05,1.20,0.05,1.11,,
443,THE JALGAON PEOPLES CO.OP.BANK LTD,8.71,123.84,3.96,115.36,,
444,THE JAMKHANDI URBAN CO-OPERATIVE BANK LTD,0.35,4.19,0.26,5.98,,
445,THE JAMMU & KASHMIR BANK LIMITED,611.88,6557.40,335.70,5341.15,,
446,THE JAMPETA CO OPERATIVE URBAN BANK LTD,0.68,9.16,0.36,10.03,,
447,THE JANATA CO-OPERATIVE BANK LTD,0.11,2.68,0.07,2.49,,
448,THE JUNAGADH COMMERCIAL CO-OPERATIVE BANK LTD,0.42,8.99,0.26,9.85,,
449,THE JUNAGADH JILLA SAHAKARI BANK LTD,0.49,12.25,0.22,11.86,,
450,THE KAIRA DISTRICT CENTRAL CO-OP. BANK LTD.,15.33,163.75,5.04,99.35,,
451,THE KAKATIYA CO-OPERATIVE URBAN BANK LTD,0.45,7.93,0.27,8.13,,
452,THE KAKINADA CO-OPERATIVE TOWN BANK LTD,0.42,8.44,0.25,10.18,,
453,THE KALUPUR COMMERCIAL CO-OP BANK LTD,23.66,387.20,8.69,313.89,,
454,THE KANGRA CENTRAL CO-OPERATIVE BANK LTD,4.06,44.63,1.73,48.52,,
455,THE KARIMNAGAR DISTRICT CO OPERATIVE CENTRAL BANK LTD,6.60,153.64,2.62,135.32,,
456,THE KARNATAKA STATE CO-OPERATIVE APEX BANK LTD,4.55,77.52,2.06,73.37,,
457,THE KARNAVATI CO OPERATIVE BANK LTD,1.59,30.08,0.68,26.05,,
458,THE KERALA STATE CO-OPERATIVE BANK LTD,21.12,262.79,11.72,312.89,,
459,THE KHAMGAON URBAN CO-OPERATIVE BANK LTD,1.86,35.19,1.23,33.16,,
460,THE KHATTRI COOPERATIVE URBAN BANK LIMITED,0.11,1.72,0.06,2.07,,
461,THE KODAGU DISTRICT CO-OP CENTRAL BANK LTD,0.57,12.23,0.24,9.36,,
462,THE KODINAR TALUKA COOPERATIVE BANKING UNION LTD,1.00,14.53,0.40,12.15,,
463,THE KODUNGALLUR TOWN CO OPERATIVE BANK LTD,0.40,4.24,0.36,7.39,,
464,THE KOLHAPUR URBAN CO-OP BANK LTD,3.06,40.50,1.62,34.05,,
465,THE KOPARGAON PEOPLES CO-OP.BANK LTD,0.06,1.31,0.04,2.19,,
466,THE KOTTAKKAL COOPERATIVE URBAN BANK LTD,1.21,18.41,0.78,16.15,,
467,THE KRANTHI CO-OPERATIVE URBAN BANK LTD,0.37,8.77,0.44,7.21,,
468,THE KUKARWADA NAGARIK SAHAKARI BANK LTD,0.32,7.37,0.14,7.47,,
469,THE KUMBAKONAM CENTRAL CO-OPERATIVE BANK LTD,0.83,11.00,0.49,11.69,,
470,THE LATUR URBAN COOP BANK LTD LATUR,0.36,5.78,0.18,6.08,,
471,THE LUNAWADA PEOPLES COOPERATIVE BANK LTD,0.04,0.85,0.05,1.49,,
472,THE MAHARASHTRA MANTRALAYA AND ALLIED OFFICES CO OPERATIVE BANK LTD,0.10,1.70,0.05,2.12,,
473,THE MAHARASHTRA STATE COOPERATIVE BANK LIMITED,1.55,19.20,0.74,22.09,,
474,THE MAHAVEER CO OPERATIVE BANK LTD,0.14,2.92,0.10,3.64,,
475,THE MAKARPURA INDUSTRIAL ESTATE COOP BANK LTD,0.06,1.07,0.04,1.10,,
476,THE MALAD SAHAKARI BANK LIMITED,1.40,19.96,0.71,17.28,,
477,THE MANDVI NAGRIK SAHAKARI BANK LTD,0.16,1.92,0.08,1.86,,
478,THE MEGHALAYA COOPERATIVE APEX BANK LTD,2.28,22.39,1.08,19.75,,
479,THE MEHSANA DISTRICT CENTRAL CO OP BANK LTD,0.85,11.06,0.21,7.27,,
480,THE MEHSANA NAGARIK SAHAKARI BANK LTD,0.14,2.95,0.07,2.94,,
481,THE MERCHANTS LIBERAL COOPERATIVE BANK LTD GADAG,0.01,0.32,0.01,0.68,,
482,"THE MERCHANTS SOUHARDA SAHAKARA BANK NI., CHITADURGA",0.25,5.15,0.14,4.49,,
483,THE MIZORAM COOPERATIVE APEX BANK LTD,2.40,44.53,1.78,36.41,,
484,THE MODASA NAGARIK SAHAKARI BANK LIMITED,0.16,3.09,0.12,3.67,,
485,THE MUMBAI MAHANAGARPALIKA SHIKSHAN VIBHAG SAHAKARI BANK LTD,0.01,0.06,0.00,0.05,,
486,THE MUNICIPAL CO-OPERATIVE BANK LTD,12.55,143.70,2.04,58.59,,
487,THE MUSLIM COOPERATIVE BANK LTD PUNE,2.77,44.29,1.55,42.52,,
488,THE NADIAD PEOPLES CO OP BANK LTD,0.01,0.23,0.01,0.30,,
489,THE NAINITAL BANK LTD,25.86,276.36,11.93,256.68,,
490,THE NALGONDA DIST CO-OP CENTRAL BANK LTD,1.53,31.03,0.66,28.51,,
491,THE NANDED MERCHANTS COOP BANK LTD,0.62,14.87,0.52,18.03,,
492,THE NANDURA URBAN CO-OP BANK LTD. NANDURA,1.49,23.31,0.96,25.90,,
493,THE NARODA NAGRIK CO OPERATIVE BANK LTD,0.14,2.28,0.07,2.50,,
494,THE NASIK MERCHANTS COOPERATIVE BANK LTD,3.16,56.40,1.55,53.09,,
495,THE NASIK ROAD DEOLALI VYAPARI SAHAKARI BANK LTD,0.45,7.68,0.22,5.98,,
496,THE NATIONAL CO-OPERATIVE BANK LTD,1.13,16.09,0.52,15.47,,
497,THE NAVAL DOCKYARD CO-OPERATIVE BANK,0.30,4.75,0.08,3.12,,
498,THE NAVNIRMAN CO-OPERATIVE BANK LTD,0.37,8.50,0.28,13.64,,
499,THE NAWANAGAR CO OPERATIVE BANK LTD,0.30,4.66,0.12,6.35,,
500,THE NEW URBAN CO-OPERATIVE BANK LTD RAMPUR,0.91,17.74,0.66,17.83,,
501,THE PANCHMAHAL DISTRICT CO OPERATIVE BANK LTD,12.40,96.84,4.56,82.48,,
502,THE PANCHSHEEL MERCANTILE CO-OP BANK LTD,0.00,0.02,0.00,0.09,,
503,THE PANIPAT URBAN COOPERATIVE BANK LTD,0.86,14.13,0.60,18.53,,
504,THE PIMPALGAON MERCHANTS CO OPERATIVE BANK LTD,0.33,6.54,0.17,5.22,,
505,THE PIONEER URBAN CO-OPERATIVE BANK LTD,0.02,0.36,0.01,0.54,,
506,THE POCHAMPALLY CO-OPERATIVE URBAN BANK LTD,4.19,82.68,2.49,79.27,,
507,THE PRATAP CO-OPERATIVE BANK LTD,0.35,6.21,0.24,5.37,,
508,THE QUILON CO-OPERATIVE URBAN BANK LTD,0.04,0.54,0.03,1.72,,
509,THE RAICHUR DISTRICT CENTRAL COOP BANK LTD RAICHUR,0.47,9.26,0.21,8.15,,
510,THE RAIGAD DISTRICT CO OPERATIVE BANK LTD ALIBAG,0.86,13.22,0.41,10.63,,
511,THE RAILWAY EMPLOYEES COOPERATIVE BANK LTD,0.18,3.55,0.04,2.60,,
512,THE RAIPUR URBAN MERCANTILE CO OP BANK LTD,0.08,1.23,0.05,1.10,,
513,THE RAJASTHAN STATE CO OPERATIVE BANK LTD,0.23,2.56,0.17,4.55,,
514,THE RAJKOT COMMERCIAL CO-OPERATIVE BANK,0.22,4.76,0.15,5.17,,
515,THE RANUJ NAGRIK SAHAKARI BANK LTD,0.09,1.64,0.03,1.59,,
516,THE S.S.K. CO-OP. BANK LTD.,0.28,4.86,0.20,4.75,,
517,THE SABARKANTHA DIST. CENT. CO.OP. BANK LTD.,22.52,248.35,6.92,156.27,,
518,THE SANGAMNER MERCHANTS CO OPERATIVE BANK LTD,0.86,9.10,0.61,12.14,,
519,THE SARVODAYA NAGARIK SAHAKARI BANK LTD,0.65,9.91,0.36,9.19,,
520,THE SARVODAYA SAHAKARI BANK LTD,0.67,9.48,0.28,9.90,,
521,THE SARVODAYA SAHAKARI BANK LTD MODASA,0.15,3.03,0.14,3.79,,
522,"THE SATARA DISTRICT CENTRAL CO-OP. BANK LTD., SATARA",20.60,281.04,9.77,207.62,,
523,THE SATARA SAHAKARI BANK LTD,1.37,20.91,0.73,18.86,,
524,THE SAURASHTRA CO-OPERATIVE BANK LTD,0.37,6.30,0.19,7.65,,
525,THE SHAHADA PEOPLES COOP BANK LTD,0.12,3.08,0.13,3.75,,
526,THE SHAMRAO VITHAL COOPERATIVE BANK LTD,70.77,1011.93,25.14,742.16,,
527,THE SHILLONG COOPERATIVE URBAN BANK LTD,0.06,0.82,0.04,0.81,,
528,THE SHORANUR CO OPERATIVE URBAN BANK LTD,0.03,0.31,0.02,0.61,,
529,"THE SIRSI URBAN SAHAKARI BANK LTD,  SIRSI",0.58,9.40,0.44,9.48,,
530,THE SOUTH INDIAN BANK LIMITED,515.25,8975.05,337.97,8310.82,,
531,THE SULTANS BATTERY CO-OPERATIVE URBAN BANK LTD,0.23,3.67,0.13,3.66,,
532,THE SURAT DISTRICT COOPERATIVE BANK,13.49,181.46,5.17,138.51,,
533,THE SURAT MERCANTILE CO-OP BANK LTD,0.48,11.54,0.19,7.44,,
534,THE SURAT PEOPLES COOP BANK LTD,6.87,129.86,2.57,97.24,,
535,THE SUTEX CO-OPERATIVE BANK LTD,3.53,67.75,1.35,54.45,,
536,THE TAMIL NADU STATE APEX CO OPERATIVE BANK LTD,5.17,61.23,2.73,62.04,,
537,THE THANE DIST CENTRAL CO OP. BANK LTD,14.07,149.66,5.95,125.05,,
538,THE TIRUCHIRAPPALLI DISTRICT CENTRAL COOPERATIVE BANK LTD,1.26,18.72,0.63,19.53,,
539,THE TIRUVANNAMALAI DISTRICT CENTRAL COOPERATIVE BANK LTD,0.83,11.56,0.40,11.50,,
540,THE UDAIPUR MAHILA URBAN COOP BANK LTD,0.78,10.59,0.32,9.41,,
541,THE UDAIPUR URBAN CO-OPERATIVE BANK LTD.,0.73,12.46,0.36,12.77,,
542,THE UDUPI CO OPERATIVE TOWN BANK LTD,0.28,4.28,0.16,4.05,,
543,THE UMRETH URBAN CO OPERATIVE BANK LTD,0.02,0.54,0.02,1.05,,
544,THE UNION CO OPERATIVE BANK LTD,0.34,7.11,0.19,6.32,,
545,THE URBAN COOP BANK LTD DHARANGAON,0.78,12.17,0.47,11.34,,
546,THE URBAN COOP BANK LTD NO 1758 PERINTHALMANNA,0.35,4.95,0.22,4.76,,
547,THE UTTARSANDA PEOPLES COOP BANK LTD UTTARSANDA,0.00,0.13,0.00,0.10,,
548,THE VAISH CO OPERATIVE NEW BANK LTD,0.05,0.88,0.04,0.86,,
549,THE VALLABH VIDYANAGAR COMMERCIAL CO-OPERATIVE BANK LTD.,0.25,4.32,0.12,3.97,,
550,"THE VARACHHA CO-OP BANK LTD, SURAT",15.31,376.75,5.13,268.12,,
551,THE VERAVAL MERCANTILE CO-OPERATIVE BANK LTD,0.08,0.85,0.04,2.54,,
552,THE VERAVAL PEOPLES COOP BANK LTD,0.06,0.78,0.04,2.16,,
553,THE VIJAY COOPERATIVE BANK LTD,1.07,25.99,0.70,24.78,,
554,THE VIJAYAPURA DISTRICT CENTRAL CO-OPERATIVE BANK LTD VIJAYAPURA,0.54,10.58,0.19,8.52,,
555,THE VISAKHAPATNAM COOPERATIVE BANK LTD.,5.95,106.78,3.20,109.89,,
556,"THE VISHWESHWAR SAHAKARI BANK LTD.,  PUNE",7.84,110.94,3.09,91.34,,
557,THE WARANGAL DISTRICT COOPERATIVE CENTRAL BANK LTD,0.97,17.59,0.40,16.67,,
558,THE WASHIM URBAN CO-OPERATIVE BANK LTD,0.01,0.09,0.01,0.56,,
559,THE YADAGIRI LAKSHMI NARASIMHA SWAMY CO-OP URBAN BANK LTD,0.32,6.20,0.21,6.79,,
560,THE ZOROASTRIAN CO OPERATIVE BANK LTD,0.15,2.55,0.08,3.74,,
561,THOOTHUKUDI DISTRICT CENTRAL COOPERATIVE BANK,0.42,5.66,0.23,5.90,,
562,TIRUNELVELI DISTRICT CENTRAL COOPERATIVE BANK LTD,0.54,7.28,0.30,7.88,,
563,TIRUPATI URBAN CO-OPERATIVE BANK LTD,1.83,22.52,0.71,18.56,,
564,Total,126813.33,1846491.63,78160.99,1690213.90,,
565,TRANSCORP INTERNATIONAL LIMITED,0.11,0.93,0.07,0.23,,
566,TRANSERV  LIMITED,1.10,13.84,0.23,3.57,,
567,TRI O TECH SOLUTIONS PRIVATE LIMITED,507.71,640.86,243.25,673.12,,
568,TRIPURA GRAMIN BANK,19.60,211.65,8.09,142.04,,
569,TRIPURA STATE CO OPERATIVE BANK LTD,1.59,21.43,0.63,14.27,,
570,TUMKUR GRAIN MERCHANTS CO-OPERATIVE BANK LTD,0.71,11.54,0.38,14.41,,
571,UCO BANK,1722.12,19992.30,863.09,18426.16,,
572,UDAIPUR MAHILA SAMRUDHI URBAN COOP BANK LTD,0.45,7.31,0.23,6.69,,
573,UJJIVAN SMALL FINANCE BANK LIMITED,416.07,4856.27,218.78,4400.08,,
574,UMA CO OPERATIVE BANK LTD,0.01,0.31,0.01,0.21,,
575,UMIYA URBAN CO OPERATIVE BANK LTD,0.03,0.43,0.02,0.80,,
576,UNIMONI FINANCIAL SERVICE PVT LTD,0.00,0.09,0.00,0.00,,
577,UNION BANK OF INDIA,8179.74,111528.71,3536.48,89415.65,,
578,UNITY SMALL FINANCE BANK LIMITED,0.81,12.32,0.38,11.62,,
579,UNJHA NAGARIK SAHAKARI BANK LTD,0.04,0.88,0.02,1.11,,
580,URBAN CO OPERATIVA BANK LTD SIDDHARTHNAGAR,0.20,1.83,0.16,3.34,,
581,URBAN COOPERATIVE BANK LTD BAREILLY,1.14,19.76,0.62,15.98,,
582,UTKARSH SMALL FINANCE BANK LIMITED,69.51,1028.20,64.06,1344.58,,
583,UTTAR PRADESH CO-OPERATIVE BANK LTD,1.11,15.96,0.57,13.01,,
584,UTTARAKHAND GRAMIN BANK - IMPS,55.36,541.28,25.19,466.50,,
